अँग्लिकन व्यक्तीकडे कोकरू असते.	दुष्ट व्यक्तीकडे कोकरू असते.
एका अँग्लिकन व्यक्तीने एका शयनकक्षाचे अंदाजपत्रक तयार केले.	एक द्वेषयुक्त व्यक्ती शयनकक्षाचे बजेट करत होती.
एका अँग्लिकन व्यक्तीने घोड्यासाठी अंदाजपत्रक तयार केले.	एक मूर्ख माणूस घोड्यासाठी बजेट करत होता.
एका अँग्लिकन व्यक्तीने एक खाट वाचवली.	एका सौम्य व्यक्तीने एक खाट वाचवली.
एका अँग्लिकन व्यक्तीला एक पितळ भेटले.	एका बलवान व्यक्तीला पितळ भेटले.
एका अँग्लिकन व्यक्तीने पॅनकेक वाचवला.	एका द्वेषयुक्त व्यक्तीने पॅनकेक वाचवला.
एका अँग्लिकन व्यक्तीने एका सासूला अडवले.	एका मूर्ख व्यक्तीने एका सासूला अडवले.
एक अँग्लिकन व्यक्ती मुख्याध्यापकाशी बोलली.	एक उदार व्यक्ती मुख्याध्यापकाशी बोलली.
एक अँग्लिकन व्यक्ती एका पंतप्रधानांशी बोलली.	एक कमकुवत व्यक्ती पंतप्रधानांशी बोलली.
एका अँग्लिकन व्यक्तीला पायलट आवडायचा.	एका लोभी व्यक्तीला पायलट आवडायचा.
एक अँग्लिकन व्यक्ती एका अमीरशी बोलली.	एक घाणेरडी व्यक्ती एका अमीरशी बोलली.
एका अँग्लिकन व्यक्तीने एक ब्राऊनी दान केली.	एका सुस्वभावी व्यक्तीने एक ब्राऊनी दान केली.
एका अँग्लिकन व्यक्तीने टोपी विकली.	एका शहाण्याने टोपी विकली.
एका अँग्लिकन व्यक्तीने गायीसाठी पैसे दिले.	एका गर्विष्ठ व्यक्तीने गायीसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने डोनट खाल्ले.	एका उदार व्यक्तीने डोनट खाल्ले.
एका अँग्लिकन व्यक्तीने जेवण विकले.	एका स्वच्छ व्यक्तीने जेवण विकले.
अँग्लिकन व्यक्तीला कपाट परवडू शकते.	एक विनोदहीन व्यक्ती कपाट घेऊ शकते.
एका अँग्लिकन व्यक्तीने एका सहकाऱ्याला अडवले.	एका बलवान व्यक्तीने एका व्यक्तीला अडवले.
एका अँग्लिकन व्यक्तीने जेवणाची देवाणघेवाण केली.	एका अविवेकी व्यक्तीने जेवणाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने कोकराचे पैसे दिले.	एका बलवान व्यक्तीने कोकराची किंमत चुकवली.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण केले.	एका अशक्त व्यक्तीने रात्रीचे जेवण खाल्ले.
एका अँग्लिकन व्यक्तीने एका गाडीला धडक दिली.	एका शहाण्याने गाडीला धडक दिली.
एक अँग्लिकन व्यक्ती एका प्रौढ व्यक्तीला भेटली.	एक विनोदी व्यक्ती एका प्रौढ व्यक्तीला भेटली.
एका अँग्लिकन व्यक्तीला एक ग्राहक आवडला.	एका गर्विष्ठ व्यक्तीला एक ग्राहक आवडला.
एका अँग्लिकन व्यक्तीने अध्यक्षांना भेट दिली.	एक आक्रमक व्यक्ती अध्यक्षांना भेटली.
एका अँग्लिकन व्यक्तीने एक ड्रेसर विकला.	एका उद्धट व्यक्तीने एक ड्रेसर विकला.
एक अँग्लिकन व्यक्ती एका जुलमी व्यक्तीशी बोलली.	एक शहाणा माणूस एका जुलमी माणसाशी बोलला.
एका अँग्लिकन व्यक्तीने सफरचंद बदलले.	एका बलवान व्यक्तीने सफरचंद बदलले.
एका अँग्लिकन व्यक्तीने मांजर वाचवली.	एका सुज्ञ व्यक्तीने मांजराला वाचवले.
एका अँग्लिकन व्यक्तीने एक टेबल वाचवले.	एका असहिष्णु व्यक्तीने टेबल वाचवले.
एका अँग्लिकन व्यक्तीने एका प्रशासकाशी मैत्री केली.	एका भयंकर व्यक्तीने एका प्रशासकाशी मैत्री केली.
एक अँग्लिकन व्यक्ती एका सेनापतीला भेटली.	एक अव्यावसायिक व्यक्ती एका सेनापतीला भेटली.
एका अँग्लिकन व्यक्तीने जेवणाची देवाणघेवाण केली.	एका हुशार व्यक्तीने जेवणाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एक डोनट दान केले.	एका बुद्धिमान व्यक्तीने डोनट दान केले.
एका अँग्लिकन व्यक्तीने एक कॅबिनेट वाचवली.	एका उद्धट व्यक्तीने एक कॅबिनेट वाचवली.
एका अँग्लिकन व्यक्तीने एक एप्रन दान केले.	एका आक्रमक व्यक्तीने एक झगा दान केला.
एका अँग्लिकन व्यक्तीने सफरचंद तयार केले.	एका सुज्ञ व्यक्तीने सफरचंद तयार केले.
एका अँग्लिकन व्यक्तीने ससा विकत घेतला.	एका सौम्य व्यक्तीने ससा विकत घेतला.
एका अँग्लिकन व्यक्तीने एक मोटारगाडी दान केली.	एका फसव्या व्यक्तीने एक मोटार दान केली.
एका अँग्लिकन व्यक्तीने मुद्रकाचा व्यापार केला.	एका उदार व्यक्तीने मुद्रकाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने जॅकेटसाठी पैसे दिले.	एका भयानक व्यक्तीने जॅकेटसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने आंबा पूर्ण केला.	एका हुशार व्यक्तीने आंबा पूर्ण केला.
एका अँग्लिकन व्यक्तीने गणकयंत्राची अदलाबदल केली.	एका सुंदर व्यक्तीने गणकयंत्राची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एका राष्ट्रपतीशी मैत्री केली.	एका अविवेकी व्यक्तीने एका राष्ट्रपतीशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एक केप विकत घेतली.	एका शहाण्याने एक केप विकत घेतली.
एका अँग्लिकन व्यक्तीने एका कुळासोबत मैत्री केली.	एका कमकुवत व्यक्तीने एका कुळासोबत मैत्री केली.
एका अँग्लिकन व्यक्तीने एक सफरचंद विकले.	एका अशुद्ध व्यक्तीने एक सफरचंद विकले.
एका अँग्लिकन व्यक्तीने एक टोस्टर दान केले.	एका विनोदी व्यक्तीने एक टोस्टर दान केले.
एका अँग्लिकन व्यक्तीने एक रोल विकला.	एका भयानक व्यक्तीने एक गुंडाळी विकली.
एका अँग्लिकन व्यक्तीने एका नेत्याशी मैत्री केली.	एका भयंकर व्यक्तीने एका नेत्याशी मैत्री केली.
अँग्लिकन व्यक्तीला एक पर्यवेक्षक आवडायचा.	एका हुशार व्यक्तीला पर्यवेक्षक आवडायचा.
एका अँग्लिकन व्यक्तीने एक स्टेपलर विकत घेतला.	एका सशक्त व्यक्तीने एक स्टेप्लर विकत घेतला.
एका अँग्लिकन व्यक्तीने अध्यक्षांना अडवले.	एका सुज्ञ व्यक्तीने अध्यक्षांना अडवले.
अँग्लिकन व्यक्तीला बकरी परवडू शकते.	घाणेरड्या व्यक्तीला बकरी परवडू शकते.
एका अँग्लिकन व्यक्तीने एका गुरुंशी मैत्री केली.	एका घाणेरड्या व्यक्तीने एका गुरुंशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एक ब्लेंडर दान केले.	एका असहिष्णु व्यक्तीने ब्लेंडर दान केले.
एका अँग्लिकन व्यक्तीने एक जॅकेट विकत घेतले.	एका उद्धट व्यक्तीने एक जॅकेट विकत घेतले.
एक अँग्लिकन व्यक्ती एका ग्राहकाशी बोलली.	एक गर्विष्ठ व्यक्ती एका ग्राहकाशी बोलली.
एका अँग्लिकन व्यक्तीने एप्रनसाठी अंदाजपत्रक तयार केले.	एक चांगली व्यक्ती ज्याने एप्रनसाठी बजेट केले.
एका अँग्लिकन व्यक्तीला एका व्यवस्थापकाचे प्रेम होते.	एका मूर्ख व्यक्तीला एका व्यवस्थापकाचे प्रेम होते.
एका अँग्लिकन व्यक्तीने एका नातेवाईकाला ओळखले.	एका असहिष्णु व्यक्तीने एका नातेवाईकाला ओळखले.
एका अँग्लिकन व्यक्तीने एक जॅकेट विकले.	एका व्यावसायिक व्यक्तीने एक जॅकेट विकले.
एका अँग्लिकन व्यक्तीला सुलतानाचा तिरस्कार होता.	एका लोभी व्यक्तीला सुलतानाचा तिरस्कार होता.
अँग्लिकन व्यक्तीकडे आंबा असतो.	एका अशुद्ध व्यक्तीकडे आंबा असतो.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण दान केले.	एका हुशार व्यक्तीने रात्रीचे जेवण दान केले.
एका अँग्लिकन व्यक्तीने एका नियंत्रकाला अडवले.	एका क्रूर व्यक्तीने एका नियंत्रकाला अडवले.
एका अँग्लिकन व्यक्तीने एक प्रशंसक ओळखला.	एका घाणेरड्या व्यक्तीने एक प्रशंसक ओळखला.
एका अँग्लिकन व्यक्तीने एक बैल दान केला.	एका बलवान व्यक्तीने बैल दान केला.
अँग्लिकन व्यक्तीला एक प्रतिनिधी आवडला.	एका सशक्त व्यक्तीला एक प्रतिनिधी आवडायचा.
एका अँग्लिकन व्यक्तीने एक एप्रन विकत घेतला.	एका सुज्ञ व्यक्तीने एक एप्रन विकत घेतला.
एका अँग्लिकन व्यक्तीने पंतप्रधानाची ओळख पटवली.	एका स्वच्छ व्यक्तीने पंतप्रधानाची ओळख पटवली.
अँग्लिकन व्यक्तीकडे हेडफोन असतात.	एका सुस्वभावी व्यक्तीकडे हेडफोन असतात.
एका अँग्लिकन व्यक्तीने एक खाट वाचवली.	एका अशुद्ध व्यक्तीने एक खाट वाचवली.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण तयार केले.	एका सुज्ञ व्यक्तीने रात्रीचे जेवण तयार केले.
एक अँग्लिकन व्यक्ती एका प्रौढ व्यक्तीला भेटली.	एक कपटी व्यक्ती एका प्रौढाला भेटली.
अँग्लिकन व्यक्तीला पोशाख परवडू शकतो.	गर्विष्ठ व्यक्तीला पोशाख परवडू शकतो.
एका अँग्लिकन व्यक्तीने हीटरचा व्यापार केला.	एका घाणेरड्या व्यक्तीने हीटरची देवाणघेवाण केली.
एक अँग्लिकन व्यक्ती मुख्याध्यापकाशी बोलली.	एक हुशार व्यक्ती मुख्याध्यापकाशी बोलली.
अँग्लिकन व्यक्तीकडे एक घड्याळ असते.	एका व्यावसायिक व्यक्तीकडे घड्याळ असते.
अँग्लिकन व्यक्तीला टोस्टर परवडू शकतो.	द्वेषयुक्त व्यक्तीला टोस्टर परवडू शकतो.
एका अँग्लिकन व्यक्तीने शाहची ओळख पटवली.	एका क्रूर व्यक्तीने शाहची ओळख पटवली.
एका अँग्लिकन व्यक्तीने राष्ट्रपतींना अडवले.	एका विनोदी व्यक्तीने राष्ट्रपतींना अडवले.
एका अँग्लिकन व्यक्तीने केळी दान केली.	एका द्वेषयुक्त व्यक्तीने केळी दान केली.
अँग्लिकन व्यक्तीकडे पीच असते.	दुष्ट व्यक्तीकडे पीच असते.
एका अँग्लिकन व्यक्तीने सँडविच दान केले.	एका बुद्धिमान व्यक्तीने सँडविच दान केले.
एका अँग्लिकन व्यक्तीला एका हुकूमशहाचा तिरस्कार होता.	एका वाईट व्यक्तीला एका हुकूमशहाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका सेनापतीला अडवले.	एका सौम्य व्यक्तीने एका सेनापतीला अडवले.
एका अँग्लिकन व्यक्तीने पॅनकेक खाल्ले.	एका हुशार व्यक्तीने पॅनकेक खाल्ले.
अँग्लिकन व्यक्तीला प्रोवोस्ट म्हणतात.	एक हुशार व्यक्ती ज्याला प्रोवोस्ट म्हणतात.
एका अँग्लिकन व्यक्तीने संगणकाचे बजेट केले.	एक कपटी व्यक्ती संगणकासाठी बजेट करत होती.
एका अँग्लिकन व्यक्तीला एक प्रोवोस्ट आवडला.	एका द्वेषयुक्त व्यक्तीला प्रोवोस्ट आवडत असे.
एका अँग्लिकन व्यक्तीने टोपीची देवाणघेवाण केली.	एका सुंदर व्यक्तीने टोपीची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एका अल्पजनतंत्राला अडवले.	एका विनोदी व्यक्तीने एका अल्पजनतंत्राला व्यत्यय आणला.
एका अँग्लिकन व्यक्तीने एक व्हॅन विकत घेतली.	एका द्वेषयुक्त व्यक्तीने एक व्हॅन विकत घेतली.
एका अँग्लिकन व्यक्तीने एक अमीर ओळखला.	एका घाणेरड्या व्यक्तीने एका अमीरची ओळख पटवली.
एका अँग्लिकन व्यक्तीला प्रोवोस्टचा तिरस्कार होता.	एका असहिष्णु व्यक्तीला प्रोवोस्टचा तिरस्कार होता.
एका अँग्लिकन व्यक्तीने एक केक विकत घेतला.	एका आक्रमक व्यक्तीने एक केक विकत घेतला.
अँग्लिकन व्यक्तीला राष्ट्राध्यक्ष आवडायचा.	एका अशुद्ध व्यक्तीचे राष्ट्रपतीवर प्रेम होते.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाला अडवले.	एका दुष्ट व्यक्तीने एका किशोरवयीन मुलाला अडवले.
एका अँग्लिकन व्यक्तीने एका लढवय्याची ओळख पटवली.	एका फसव्या व्यक्तीने एका लढवय्याची ओळख पटवली.
एका अँग्लिकन व्यक्तीने गणकयंत्र दान केले.	एका विनोदी व्यक्तीने गणकयंत्र दान केले.
एका अँग्लिकन व्यक्तीने अध्यक्षांना अडवले.	एका मूर्ख व्यक्तीने अध्यक्षांना अडवले.
एका अँग्लिकन व्यक्तीने मुख्याध्यापकाला बोलावले.	एक भयंकर व्यक्ती ज्याला मुख्याध्यापक म्हणतात.
एका अँग्लिकन व्यक्तीने आंबा खाल्ला.	एका आक्रमक व्यक्तीने आंबा खाल्ला.
एक अँग्लिकन व्यक्ती एका कमांडंटला भेटली.	एक लोभी व्यक्ती एका सेनापतीला भेटली.
एका अँग्लिकन व्यक्तीने एक गालिचा विकत घेतला.	एका सौम्य व्यक्तीने एक गाद्याची खरेदी केली.
एका अँग्लिकन व्यक्तीने एका नातेवाईकाला ओळखले.	एका वाईट व्यक्तीने एका नातेवाईकाला ओळखले.
एका अँग्लिकन व्यक्तीने एक कोंबडी विकली.	एका भयंकर व्यक्तीने कोंबडी विकली.
एका अँग्लिकन व्यक्तीने गायीसाठी पैसे दिले.	एका अव्यावसायिक व्यक्तीने गायीसाठी पैसे दिले.
अँग्लिकन व्यक्तीला टोपी परवडू शकते.	एक सशक्त व्यक्ती टोपी घेऊ शकते.
अँग्लिकन व्यक्तीचे राज्यपालावर प्रेम होते.	एका गर्विष्ठ व्यक्तीचे राज्यपालावर प्रेम होते.
एका अँग्लिकन व्यक्तीने एका दिग्दर्शकाला अडवले.	एका सौम्य व्यक्तीने एका दिग्दर्शकाला अडवले.
एका अँग्लिकन व्यक्तीने पॅनकेकसाठी पैसे दिले.	एका उद्धट व्यक्तीने पॅनकेकसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाशी मैत्री केली.	एका आक्रमक व्यक्तीने एका किशोरवयीन मुलाशी मैत्री केली.
एका अँग्लिकन व्यक्तीने कार्यकारीला बोलावले.	एक प्रामाणिक व्यक्ती ज्याला कार्यकारी म्हणतात.
एका अँग्लिकन व्यक्तीने पीच शिजवली.	एका प्रामाणिक व्यक्तीने पीच शिजवली.
एका अँग्लिकन व्यक्तीने एका ओळखीच्या व्यक्तीला फोन केला.	एक उदार व्यक्ती ज्याला परिचित म्हणतात.
अँग्लिकन व्यक्तीला एस. यू. व्ही. परवडू शकते.	अहंकारी व्यक्तीला एस. यू. व्ही. परवडू शकते.
एका अँग्लिकन व्यक्तीने एक वजीर ओळखला.	एका प्रामाणिक व्यक्तीने एका वजीरची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एक आंबा विकला.	एका उदार व्यक्तीने आंबा विकला.
एका अँग्लिकन व्यक्तीने एक डुक्कर विकत घेतले.	एका सुंदर व्यक्तीने एक डुक्कर विकत घेतले.
अँग्लिकन व्यक्तीकडे गाय असते.	बलवान व्यक्तीकडे गाय असते.
एक अँग्लिकन व्यक्ती एका गुरूंना भेटायला गेली.	एक हुशार व्यक्ती एका गुरूंना भेटायला गेली.
एका अँग्लिकन व्यक्तीने एप्रनची अदलाबदल केली.	एका असहिष्णु व्यक्तीने एप्रनची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एका समूहाला भेट दिली.	एका क्रूर व्यक्तीने एका समूहाला भेट दिली.
एका अँग्लिकन व्यक्तीने पिझ्झासाठी बजेट केले.	एक कुरूप व्यक्ती पिझ्झासाठी बजेट करत होती.
एका अँग्लिकन व्यक्तीने कोंबडीसाठी अंदाजपत्रक तयार केले.	एका गर्विष्ठ व्यक्तीने कोंबडीसाठी बजेट केले.
एका अँग्लिकन व्यक्तीने एका राजप्रतिनिधींना अडवले.	एका लोभी व्यक्तीने एका राजप्रतिनिधींना अडवले.
एका अँग्लिकन व्यक्तीने एका कुलीन व्यक्तीशी मैत्री केली.	एका उद्धट व्यक्तीने एका कुलीन व्यक्तीशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एक मुद्रक विकले.	एका हुशार व्यक्तीने एक मुद्रक विकले.
अँग्लिकन व्यक्तीला घड्याळ परवडू शकते.	एका चांगल्या व्यक्तीला एक घड्याळ परवडू शकते.
एका अँग्लिकन व्यक्तीने एक केप वाचवली.	एका असहिष्णु व्यक्तीने एक केप वाचवली.
अँग्लिकन व्यक्तीकडे जीप असते.	एका सौम्य व्यक्तीकडे जीप असते.
एका अँग्लिकन व्यक्तीने प्रमुखाला बोलावले.	एक लोभी व्यक्ती ज्याला प्रमुख म्हणतात.
अँग्लिकन व्यक्तीला व्हॅन परवडू शकते.	प्रामाणिक व्यक्तीला व्हॅन परवडू शकते.
एका अँग्लिकन व्यक्तीने एक रोल दान केला.	एका अज्ञानी व्यक्तीने एक सुरवंट दान केले.
एका अँग्लिकन व्यक्तीने एक जॅकेट विकले.	एका अशुद्ध व्यक्तीने एक जॅकेट विकले.
एका अँग्लिकन व्यक्तीने एका कुलीन व्यक्तीशी मैत्री केली.	एका अव्यावसायिक व्यक्तीने एका कुलीन व्यक्तीशी मैत्री केली.
एक अँग्लिकन व्यक्ती एका बॉसला भेटली.	एक घाणेरडी व्यक्ती एका बॉसला भेटली.
एका अँग्लिकन व्यक्तीला एक नातेवाईक आवडला.	एका अज्ञानी व्यक्तीला एक नातेवाईक आवडायचा.
एका अँग्लिकन व्यक्तीला एका शासकाचा द्वेष होता.	एका वाईट व्यक्तीला शासकाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका न्यायाधीशाची ओळख पटवली.	एका सौम्य व्यक्तीने एका न्यायाधीशाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने मुख्याध्यापकाची ओळख पटवली.	एका द्वेषयुक्त व्यक्तीने मुख्याध्यापकाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने जेवण संपवले.	एका द्वेषयुक्त व्यक्तीने जेवण संपवले.
अँग्लिकन व्यक्तीला कोंबडी परवडू शकते.	एक भयंकर माणूस कोंबडी विकत घेऊ शकतो.
अँग्लिकन व्यक्तीला कोंबडी परवडू शकते.	द्वेषयुक्त व्यक्तीला कोंबडी परवडू शकते.
अँग्लिकन व्यक्तीला खच्चर परवडू शकतो.	आक्रमक व्यक्तीला खच्चर परवडू शकतो.
एक अँग्लिकन व्यक्ती एका नियंत्रकाशी बोलली.	एक उद्धट व्यक्ती एका नियंत्रकाशी बोलली.
एका अँग्लिकन व्यक्तीने बटाट्याचा व्यापार केला.	एका सुस्वभावी व्यक्तीने बटाट्याची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने फोन वाचवला.	आक्रमक व्यक्तीने फोन वाचवला.
एका अँग्लिकन व्यक्तीने एक सफरचंद विकत घेतले.	एका उदार व्यक्तीने एक सफरचंद विकत घेतले.
एक अँग्लिकन व्यक्ती एका कर्मचाऱ्याशी बोलली.	एक विनोदहीन व्यक्ती एका कर्मचाऱ्याशी बोलली.
अँग्लिकन व्यक्तीकडे खुर्ची असते.	कमकुवत व्यक्तीकडे खुर्ची असते.
एक अँग्लिकन व्यक्ती एका राजप्रतिनिधीशी बोलली.	एक बुद्धिमान व्यक्ती एका राजप्रतिनिधीशी बोलली.
एका अँग्लिकन व्यक्तीने एक गणकयंत्र विकत घेतले.	एका सौम्य व्यक्तीने गणकयंत्र विकत घेतले.
एका अँग्लिकन व्यक्तीने कॅबिनेटची अदलाबदल केली.	एका प्रामाणिक व्यक्तीने मंत्रिमंडळाची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एक बदक वाचवली.	एका स्वच्छ व्यक्तीने बदकाला वाचवले.
एका अँग्लिकन व्यक्तीने ड्रेसरची अदलाबदल केली.	एका कुरूप व्यक्तीने एक ड्रेसर अदलाबदल केला.
एक अँग्लिकन व्यक्ती ज्याला सुलतान म्हणतात.	एक असहिष्णु व्यक्ती ज्याला सुलतान म्हणतात.
एक अँग्लिकन व्यक्ती एका अधिपत्याची भेट घेतली.	एका गर्विष्ठ व्यक्तीला एका अधिपत्याची भेट झाली.
एक अँग्लिकन व्यक्ती एका चाहत्याला भेटायला गेली.	एक सुस्वभावी व्यक्ती एका चाहत्याला भेटायला आली.
एका अँग्लिकन व्यक्तीने एका कमांडंटशी मैत्री केली.	एका चांगल्या व्यक्तीची एका सेनापतीशी मैत्री झाली.
एक अँग्लिकन व्यक्ती एका पायलटला भेटली.	एक मूर्ख व्यक्ती एका पायलटला भेटली.
एक अँग्लिकन व्यक्ती एका सहकाऱ्याला भेटली.	एक अव्यावसायिक व्यक्ती एका सहकाऱ्याला भेटली.
एका अँग्लिकन व्यक्तीने एका चमूला बोलावले.	एक चांगली व्यक्ती ज्याला कर्मचारी म्हणतात.
एका अँग्लिकन व्यक्तीने एका नेत्याची भेट घेतली.	एक भयंकर व्यक्ती एका नेत्याची भेट घेण्यासाठी आली.
एका अँग्लिकन व्यक्तीने मुख्याध्यापकाची ओळख पटवली.	एका लोभी व्यक्तीने मुख्याध्यापकाची ओळख पटवली.
अँग्लिकन व्यक्तीकडे डोनट असते.	अज्ञानी व्यक्तीकडे डोनट असते.
एका अँग्लिकन व्यक्तीने एका वडीलधाऱ्याला भेट दिली.	एक उदार व्यक्ती एका वडीलधाऱ्याला भेटायला गेली.
अँग्लिकन व्यक्तीला प्रतिनिधी आवडायचा.	एका कुरूप व्यक्तीला एका प्रतिनिधीची आवड होती.
अँग्लिकन व्यक्तीला प्रतिनिधी आवडायचा.	एका मूर्ख व्यक्तीला एका प्रतिनिधीची आवड होती.
एक अँग्लिकन व्यक्ती बस चालवत होती.	एक अस्वच्छ व्यक्ती बस चालवत होती.
एका अँग्लिकन व्यक्तीने एका ग्राहकाला फोन केला.	एका व्यावसायिक व्यक्तीने एका ग्राहकाला फोन केला.
एका अँग्लिकन व्यक्तीने रेफ्रिजरेटरचा व्यापार केला.	एका सौम्य व्यक्तीने रेफ्रिजरेटरची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीला एक अधिष्ठाता आवडायचा.	एका मूर्ख व्यक्तीला डीन आवडायचा.
एका अँग्लिकन व्यक्तीने न्याहारीची अदलाबदल केली.	एका असहिष्णु व्यक्तीने न्याहारीची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एक टोस्टर दान केले.	एका प्रामाणिक व्यक्तीने एक टोस्टर दान केले.
एक अँग्लिकन व्यक्ती एका अर्लला भेटली.	एक आक्रमक व्यक्ती एका अर्लला भेटली.
एका अँग्लिकन व्यक्तीने एका कॅप्टनशी मैत्री केली.	एका उद्धट व्यक्तीने एका कॅप्टनशी मैत्री केली.
एका अँग्लिकन व्यक्तीने पोशाख दान केला.	एका बुद्धिमान व्यक्तीने वेशभूषा दान केली.
एका अँग्लिकन व्यक्तीने एक खुर्ची विकली.	एका सुज्ञ व्यक्तीने एक खुर्ची विकली.
एका अँग्लिकन व्यक्तीने एका रहिवाशाशी मैत्री केली.	एका भयंकर व्यक्तीने एका रहिवाशाशी मैत्री केली.
एका अँग्लिकन व्यक्तीला मुख्याध्यापकाचा तिरस्कार होता.	एका प्रामाणिक व्यक्तीला मुख्याध्यापकाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका राजाला भेट दिली.	एका बलवान व्यक्तीने एका राजाला भेट दिली.
एक अँग्लिकन व्यक्ती एका गुरूंना भेटली.	एका कमकुवत व्यक्तीला एक गुरू भेटला.
एका अँग्लिकन व्यक्तीला सरदारांचा तिरस्कार होता.	एक आक्रमक व्यक्ती सरदारांचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने एका शासकाशी मैत्री केली.	एका कमकुवत व्यक्तीने एका शासकाशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एका बॉसची ओळख पटवली.	एका हुशार व्यक्तीने एका बॉसची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एका सिनेटरला अडवले.	एका उदार व्यक्तीने एका सिनेटरला अडवले.
एका अँग्लिकन व्यक्तीने खुर्चीसाठी पैसे दिले.	एका व्यावसायिक व्यक्तीने खुर्चीसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने एका अमीरशी मैत्री केली.	एका कपटी व्यक्तीने एका अमीरशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एका हुकूमशहाची ओळख पटवली.	एका असहिष्णु व्यक्तीने हुकूमशहाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एका हुकूमशहाशी मैत्री केली.	एका असहिष्णु व्यक्तीने एका हुकूमशहाशी मैत्री केली.
एका अँग्लिकन व्यक्तीने नाश्त्यासाठी पैसे दिले.	एका असहिष्णु व्यक्तीने नाश्त्यासाठी पैसे दिले.
एका अँग्लिकन व्यक्तीला एक कुलीन आवडायचा.	एका क्रूर व्यक्तीला एक कुलीन माणूस आवडायचा.
एका अँग्लिकन व्यक्तीने शाहला अडवले.	एका मूर्ख व्यक्तीने शाहला अडवले.
एका अँग्लिकन व्यक्तीने केपसाठी अंदाजपत्रक तयार केले.	एक मूर्ख माणूस केपसाठी बजेट करत होता.
एका अँग्लिकन व्यक्तीने ड्रेसरसाठी पैसे दिले.	एका सुंदर व्यक्तीने ड्रेसरसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने टोपी दान केली.	एका भयंकर व्यक्तीने टोपी दान केली.
एक अँग्लिकन व्यक्ती एका निवृत्त व्यक्तीशी बोलली.	एक कुरूप व्यक्ती एका सेवानिवृत्त व्यक्तीशी बोलली.
