Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki mmoja alimtambulisha mtu fulani aliyemheshimu.	Mtu mwenye hila alimtambua mpenzi wake.
Mtu Mkatoliki alimkatiza rubani.	Mtu asiye na ujuzi alimkatiza rubani.
Mkatoliki alikutana na mwalimu.	Mtu mpumbavu alikutana na Waziri.
Mtu Mkatoliki aliweka bajeti ya koti.	Mtu mwenye kiburi aliweka bajeti ya koti.
Mtu Mkatoliki alibadilisha chakula cha jioni.	Mtu mkarimu alibadilishana chakula cha jioni.
Mtu Mkatoliki alinunua kitanda.	Mtu mzuri alinunua kitanda.
Mkatoliki alichukia kijana.	Mtu dhaifu alimchukia kijana.
Mtu Mkatoliki alinunua burger.	Mtu mjinga alinunua burger.
Mkatoliki anaweza kumudu punda.	Mtu mwenye nguvu anaweza kumudu punda.
Mtu Mkatoliki aliangusha gari.	Mtu mwenye akili aliharibu gari.
Mkatoliki mmoja alizungumza na kiongozi.	Mtu mwaminifu alizungumza na kiongozi.
Mtu Mkatoliki alikula burger.	Mtu mwovu alikula burger.
Mtu mmoja Mkatoliki alinunua kompyuta.	Mtu mwenye akili alinunua kompyuta.
Mtu Mkatoliki aliweka bajeti ya bluu.	Mtu asiye na elimu aliweka bajeti ya bluu.
Mkatoliki mmoja alimtembelea kijana mmoja.	Mtu dhaifu alimtembelea kijana.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mtukutu anaweza kumudu gari.
Mkatoliki mmoja alizungumza na mtawala fulani.	Mtu mwenye sura mbaya alizungumza na mtawala.
Mtu Mkatoliki alilipa kwa ajili ya pizza.	Mtu asiye na uvumilivu alilipa kwa ajili ya pizza.
Mkatoliki alibadilisha nguruwe.	Mtu mbaya alibadilisha nguruwe.
Mtu Mkatoliki aliokoa mbwa.	Mtu mwenye tabia mbaya aliokoa mbwa.
Mkatoliki alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye kiburi alikutana na mtu mwenye umri mkubwa.
Mtu Mkatoliki alinunua kofia.	Mtu mwenye haki alinunua vazi.
Mtu Mkatoliki anamiliki gari la aina ya SUV.	Mtu asiye na ucheshi anamiliki gari la aina ya SUV.
Mkatoliki fulani aliandaa mkate.	Mtu mnyofu alitayarisha mkate.
Mtu Mkatoliki alipenda mtu anayemheshimu.	Mtu dhaifu alipenda mtu anayemheshimu.
Mkatoliki fulani alimkatiza mheshimiwa.	Mtu asiye na uvumilivu alimkatiza mtukufu.
Mkatoliki mmoja alimtambulisha kasisi mmoja.	Mtu mwenye tabia mbaya alimtambua mwanakondoo.
Mkatoliki alibadilishana supu.	Mtu mwenye hila alibadilishana supu.
Mtu Mkatoliki alilipa kwa ajili ya mbwa.	Mtu mwaminifu alilipa kwa ajili ya mbwa.
Mtu mmoja Mkatoliki alinunua kofia.	Mtu mwenye nguvu alinunua kofia.
Mtu Mkatoliki alimpenda kiongozi.	Mtu mwenye nguvu alipenda kiongozi.
Mkatoliki alilipa kwa kuku.	Mtu mkatili alilipa kwa kuku.
Mtu mmoja Mkatoliki aliuza kompyuta.	Mtu mwenye udanganyifu aliuza kompyuta.
Mtu mmoja Mkatoliki alimtambua oligarch.	Mtu mwenye udanganyifu alijitambulisha kuwa ni oligarch.
Mkatoliki alipenda mtu mwenye cheo cha juu.	Mtu dhaifu alimpenda mtu mwenye cheo cha juu.
Mtu Mkatoliki alichukia kiongozi.	Mtu mpumbavu alimchukia kiongozi.
Mtu mmoja Mkatoliki aliuza redio.	Mtu mchafu aliuza redio.
Mtu Mkatoliki anaweza kumudu taa.	Mtu mwenye ujuzi anaweza kumudu taa.
Mtu mmoja Mkatoliki alitoa beret.	Mtu asiye na ujuzi alitoa beret.
Mtu Mkatoliki alimpenda papa.	Mtu mwenye akili alipenda papa.
Mkatoliki alianzisha urafiki na babu yake.	Mtu mwenye jeuri alishirikiana na babu.
Mtu Mkatoliki alioka keki.	Mtu mbaya sana alioka keki.
Mtu mmoja Mkatoliki aliokoa televisheni.	Mtu mwenye akili aliokoa televisheni.
Mkatoliki mmoja alifanya urafiki na msimamizi.	Mtu mwenye chuki alishirikiana na msimamizi.
Mkatoliki alimkatiza mtawala mkatili.	Mtu mwenye akili alimkatiza mtawala mkatili.
Mtu mmoja Mkatoliki alitoa vazi.	Mtu mwenye sura mbaya alitoa vazi.
Mkatoliki alimkatiza mgonjwa.	Mtu mchafu alivunja mgeni.
Mtu Mkatoliki alimpenda afisa.	Mtu mwaminifu alipenda afisa.
Mkatoliki mmoja alimtambulisha mwenyekiti.	Mtu mwenye akili alibainisha mwenyekiti.
Mtu Mkatoliki aliweka bajeti ya sungura.	Mtu mwenye nguvu aliweka bajeti kwa ajili ya sungura.
Mkatoliki alibadilisha nguo.	Mtu mpumbavu alibadilisha nguo.
Mtu Mkatoliki alikutana na Don.	Mtu mbaya alikutana na Don.
Mtu Mkatoliki aliokoa tanuru.	Mtu asiye na uvumilivu aliokoa tanuri.
Mtu Mkatoliki aliokoa ng'ombe.	Mtu mwenye jeuri aliokoa ng'ombe.
Mtu mmoja Mkatoliki alibadilishana koti.	Mtu mbaya alibadilishana koti.
Mtu Mkatoliki alilipa kwa ajili ya stapler.	Mtu mwenye hasira alilipa kwa ajili ya stapler.
Mkatoliki mmoja alizungumza na mteja.	Mtu mwenye akili alizungumza na mteja.
Mtu Mkatoliki alinunua sofa.	Mtu mkatili alinunua sofa.
Mtu Mkatoliki alilipa kwa ajili ya pancake.	Mtu asiye na ujuzi alilipa kwa ajili ya pancake.
Mtu Mkatoliki aliuza sungura.	Mtu asiye na ucheshi aliuza sungura.
Mkatoliki mmoja alianzisha urafiki na gavana.	Mtu dhaifu alishirikiana na gavana.
Mtu mmoja Mkatoliki alitoa pudding.	Mtu mwema alitoa budding.
Mtu Mkatoliki anamiliki ng'ombe.	Mtu mwenye pupa anamiliki ng'ombe.
Mkatoliki alikutana na rubani.	Mtu mwenye nguvu alikutana na rubani.
Mtu Mkatoliki alimkatiza kiongozi.	Mtu mpumbavu alimkatiza kiongozi.
Mtu Mkatoliki aliokoa nyati.	Mtu dhaifu aliokoa nyati.
Mtu Mkatoliki alibadilisha mavazi.	Mtu mjinga alibadilisha mavazi.
Mkatoliki mmoja alimtambulisha mwenyekiti.	Mtu mwenye akili alimtambua mwenyekiti.
Mtu Mkatoliki alilipa kwa ajili ya cape.	Mtu mwenye hila alilipa kwa ajili ya vazi.
Mkatoliki alichukia jenerali.	Mtu mwema alimchukia jenerali.
Mtu Mkatoliki alimpenda bwana.	Mtu mwenye nguvu alimpenda bwana.
Mkatoliki fulani aliandaa supu.	Mtu mwenye hekima alitayarisha supu.
Mtu mmoja Mkatoliki alitoa benchi.	Mtu mkatili alitoa benchi.
Mkatoliki alikutana na nahodha.	Mtu mwenye hila alikutana na nahodha.
Mtu Mkatoliki anaweza kumudu saa.	Mtu mbaya anaweza kumudu saa.
Mtu Mkatoliki alimwita kijana.	Mtu mwenye jeuri aitwaye kijana.
Mkatoliki mmoja alifanya urafiki na dikteta.	Mtu mwema alikuwa rafiki wa dikteta.
Mkatoliki alichukia kikundi cha wafuasi.	Mtu mpumbavu alichukia kundi la watu.
Mkatoliki alichukia mvulana mdogo.	Mtu asiye na adabu alichukia mvulana mdogo.
Mkatoliki fulani alimkatiza mwalimu mkuu.	Mtu fulani asiye na uvumilivu alimkatiza mwalimu mkuu.
Mkatoliki alipenda mpiganaji.	Mtu mkarimu alimpenda mpiganaji.
Mtu Mkatoliki alilipa kwa ajili ya chakula cha mchana.	Mtaalamu alilipa kwa ajili ya chakula cha mchana.
Mtu Mkatoliki aitwaye bwana.	Mtu mkali aitwaye bwana.
Mtu Mkatoliki aliokoa peach.	Mtu mchafu aliokoa peach.
Mtu Mkatoliki aliuza kabati.	Mtu mwenye akili aliuza kabati.
Mtu Mkatoliki alibadilisha gari.	Mtu mkatili alibadilisha gari.
Mtu Mkatoliki aliweka bajeti ya kitanda.	Mtu mwenye hila aliweka bajeti ya kitanda.
Mkatoliki mmoja alizungumza na hakimu.	Mtu mpumbavu alizungumza na hakimu.
Mtu Mkatoliki alibadilisha taa.	Mtu mwenye akili alibadilisha taa.
Mtu Mkatoliki aliokoa sofa.	Mtu mwenye akili aliokoa sofa.
Mtu Mkatoliki alipenda nahodha.	Mtu mtaalamu alipenda nahodha.
Mtu mmoja Mkatoliki alibadilisha gari la jeep.	Mtu mwenye pupa alibadilisha gari la jeep.
Mtu Mkatoliki aliokoa zulia.	Mtu asiye na uvumilivu aliokoa zulia.
Mtu Mkatoliki aliokoa sandwich.	Mtu mbaya sana aliokoa sandwich.
Mkatoliki mmoja alimtambua kama imperator.	Mtu mwenye akili alimtambua imperator.
Mtu Mkatoliki anaweza kumudu keki.	Mtaalamu anaweza kumudu keki.
Mtu Mkatoliki anamiliki kompyuta.	Mtu mwenye utaratibu ana kompyuta.
Mtu Mkatoliki anaweza kumudu kompyuta.	Mtu mwenye hila anaweza kumudu kompyuta.
Mkatoliki mmoja alimtambua mtu mwenye cheo cha juu.	Mtu mwenye nguvu alitambua shaba.
Mtu Mkatoliki alipenda bosi.	Mtaalamu hupenda kuwa na bosi.
Mkatoliki fulani alimtembelea mkurugenzi.	Mtu mwenye chuki alimtembelea mkurugenzi.
Mtu Mkatoliki aliuza laptop.	Mtu dhaifu aliuza laptop.
Mtu Mkatoliki alifanya urafiki na swami.	Mtu mwenye akili alianzisha urafiki na swami.
Mtu Mkatoliki alianguka kwenye gari.	Mtu mbaya sana alianguka kwenye gari.
Mkatoliki mmoja alizungumza na mkuu wa shule.	Mtu safi alizungumza na mkurugenzi.
Mtu Mkatoliki alimwita mfanyakazi.	Mtu mwenye udanganyifu alimwita mfanyakazi.
Mtu Mkatoliki alimwita kamanda.	Mtu mwenye nguvu aitwaye kamanda.
Mtu Mkatoliki anamiliki sandwich.	Mtu mpumbavu anamiliki sandwich.
Mtu Mkatoliki anamiliki nguo.	Mtu asiye safi anamiliki vazi.
Mtu Mkatoliki alinunua farasi.	Mtu mwenye hekima alinunua farasi.
Mtu Mkatoliki anaweza kumudu kiatu.	Mtu mwenye akili anaweza kumudu kiatu.
Mtu Mkatoliki aliokoa zulia.	Mtu mbaya aliokoa rug.
Mkatoliki alipenda mpiganaji.	Mtaalamu alipenda mpiganaji.
Mkatoliki anaweza kumudu mbuzi.	Mtu mpole anaweza kumudu mbuzi.
Mtu Mkatoliki alikutana na babu.	Mtu mwenye nguvu alikutana na babu.
Mtu Mkatoliki alibadilishana mango.	Mtaalamu alibadilisha mango.
Mtu mmoja Mkatoliki alitoa tofaa.	Mtu mmoja mwenye hila alitoa tofaa.
Mtu Mkatoliki aliandaa peach.	Mtu mwenye akili alitayarisha peresi.
Mtu Mkatoliki aitwaye bwana.	Mtu mwaminifu aitwaye bwana.
Mtu Mkatoliki anaweza kumudu pete.	Mtu asiye na uvumilivu anaweza kumudu pete.
Mkatoliki mmoja alimtembelea seneta.	Mtu mwenye nguvu alimtembelea seneta.
Mkatoliki mmoja aliuza mbuzi.	Mtu mpumbavu alibadilisha mbuzi.
Mtu Mkatoliki alinunua pudding.	Mtu mwenye udanganyifu alinunua pudding.
Mtu Mkatoliki alitoa sofa.	Mtu mwenye tabia mbaya alitoa sofa.
Mtu Mkatoliki aliokoa burger.	Mtu mpole aliokoa burger.
Mtu Mkatoliki alibadilisha kifaa cha kusikiliza.	Mtu mwenye pupa alibadilisha kifaa cha kusikiliza.
Mkatoliki mmoja alifanya urafiki na mtu wa tabaka la juu.	Mtu mwema alishirikiana na aristocrat.
Mtu mmoja Mkatoliki alianzisha urafiki na mtu fulani aliyemfahamu.	Mtu mwenye tabia mbaya alijifanya rafiki wa mtu anayemfahamu.
Mtu Mkatoliki anamiliki heater.	Mtu mwaminifu anamiliki heater.
Mkatoliki mmoja alifanya urafiki na papa.	Mtu mwenye akili alianzisha urafiki na papa.
Mtu mmoja Mkatoliki alitoa sungura.	Mtu mzuri alitoa sungura.
Mtu Mkatoliki aliokoa gari.	Mtu mpumbavu aliokoa van.
Mtu Mkatoliki anamiliki tanuru.	Mtu dhaifu anamiliki tanuru.
Mtu Mkatoliki aliweka bajeti ya keki.	Mtu mchafu aliweka bajeti ya keki.
Mtu Mkatoliki alilipa kwa ajili ya sofa.	Mtu mwenye hila alilipa kwa ajili ya sofa.
Mkatoliki mmoja alizungumza na msimamizi wa shule hiyo.	Mtu fulani mwenye fadhili alizungumza na msimamizi wa shule.
Mkatoliki mmoja alimtembelea mteja.	Mtu safi alitembelea mteja.
Mtu Mkatoliki alibadilisha benchi.	Mtu asiye na uvumilivu alibadilisha benchi.
Mkatoliki alibadilisha kompyuta.	Mtu asiye safi alibadilisha kompyuta.
Mtu Mkatoliki alimpenda mzee wake.	Mtu mwenye akili alipenda babu yake.
Mtu Mkatoliki alipenda msimamizi.	Mtu mjanja alimpenda msimamizi.
Mtu Mkatoliki aitwaye tajune.	Mtu mbaya aitwaye tajiri.
Mtu Mkatoliki aliendesha basi.	Mtu mwenye kiburi aliendesha basi.
Mtu Mkatoliki alibadilisha kofia.	Mtu mpole alibadilisha vazi.
Mtu Mkatoliki alinunua gari aina ya jeep.	Mtu mwenye udanganyifu alinunua gari aina ya jeep.
Mtu Mkatoliki alilipa kwa ajili ya headphones.	Mtu mkali alilipa kwa ajili ya headphones.
Mtu Mkatoliki alibadilisha gari la SUV.	Mtu mwovu alibadilisha gari la SUV.
Mtu Mkatoliki alilipa kwa saa.	Mtu mwovu alilipa kwa saa.
Mtu Mkatoliki alipika saladi.	Mtu mwenye chuki alitayarisha saladi.
Mtu mmoja Mkatoliki alimpigia simu mtu wa ukoo.	Mtu mwenye akili alimwita jamaa.
Mtu Mkatoliki alilipa kwa saa.	Mtu safi alilipa kwa saa.
Mkatoliki mmoja alizungumza na mwanakondoo.	Mtu safi alizungumza na mwanakondoo.
Mtu Mkatoliki alimtambulisha rais.	Mtu mkarimu alimtambulisha rais.
Mtu Mkatoliki alilipa kwa ajili ya headphones.	Mtu mjinga alilipa kwa ajili ya headphones.
Mkatoliki alichukia mkuu wa shule.	Mtu mwenye hila alimchukia mkuu wa shule.
Mkatoliki mmoja alizungumza na mtawala mmoja.	Mtu mwenye akili alizungumza na oligarch.
Mkatoliki mmoja alimtembelea ofisa mmoja.	Mtu mwovu alimtembelea afisa.
Mtu mmoja Mkatoliki alitoa chakula cha mchana.	Mtu mwenye udanganyifu alitoa chakula cha mchana.
Mtu mmoja Mkatoliki alibadilisha kiti.	Mtu mwenye utaratibu alibadilisha kiti.
Mkatoliki mmoja alianzisha urafiki na kijana mmoja.	Mtu dhaifu alijifanya rafiki wa kijana.
Mtu Mkatoliki anaweza kumudu gari la aina ya SUV.	Mtu mtaalamu anaweza kumudu gari la aina ya SUV.
Mkatoliki alichukia askofu.	Mtu dhaifu alimchukia askofu.
Mtu Mkatoliki alibadilisha basi.	Mtu safi alibadilisha basi.
Mtu mmoja Mkatoliki alimchukia rafiki yake.	Mtu mwenye jeuri alichukia mtu aliyemfahamu.
Mtu Mkatoliki alimwita mkuu.	Mtu mzuri aitwaye mkuu.
Mkatoliki alimkatiza balozi.	Mtu mwenye pupa alimkatiza balozi.
Mtu mmoja Mkatoliki aliuza kitanda.	Mtu mwenye hekima aliuza kitanda.
Mtu mmoja Mkatoliki alitoa punda.	Mtu asiye na akili alitoa punda.
Mkatoliki mmoja alikuwa rafiki wa rais.	Mtu safi alifanya urafiki na rais.
Mtu Mkatoliki aliuza ndama.	Mtu mpumbavu aliuza ndama.
Mtu Mkatoliki alinunua kabati.	Mtu asiye na utani alinunua kabati.
Mtu Mkatoliki aitwaye mzee wa ukoo.	Mtu mjanja aitwaye mzee.
Mkatoliki mmoja alizungumza na mwakilishi.	Mtu mwenye akili alizungumza na mwakilishi.
Mtu Mkatoliki alimpenda mkaaji.	Mtu mjanja alipenda mkaazi.
Mtu Mkatoliki alibadilisha kabati.	Mtu mkarimu alibadilisha kabati.
Mtu Mkatoliki alimwita nahodha.	Mtu mpumbavu aitwaye nahodha.
Mtu mmoja Mkatoliki alitoa kofia ya chuma.	Mtu mwenye akili alitoa kofia ya chuma.
Mtu Mkatoliki alilipa kwa saladi.	Mtu mkarimu alilipa kwa ajili ya saladi.
Mtu Mkatoliki alinunua bata.	Mtu mwenye hila alinunua bata.
Mtu Mkatoliki alikutana na mtu.	Mtu mwenye chuki alikutana na mtu.
Mkatoliki aliokoa mtu aliyekuwa amelala kwenye kiti.	Mtu mwenye akili aliokoa mtu aliyelala kitandani.
Mkatoliki mmoja alimtambulisha afisa mmoja.	Mtaalamu mmoja alimtambua afisa.
Mtu Mkatoliki alifanya urafiki na mtu mashuhuri.	Mtu asiye na maarifa akafanya urafiki na mtu mashuhuri.
Mtu Mkatoliki alimtambulisha bosi.	Mtu mzuri alitambua bosi.
Mtu Mkatoliki aitwaye sultani.	Mtu mpumbavu aitwaye sultan.
Mkatoliki mmoja alianzisha urafiki na earl.	Mtu mpole alijifanya rafiki wa earl.
Mkatoliki mmoja alimkatiza mtawala.	Mtu mkarimu alimkatiza mtawala.
Mtu Mkatoliki alibadilisha ndama.	Mtu mwenye kiburi alibadilisha ndama.
Mtu Mkatoliki alibadilisha friji.	Mtu mbaya alibadilisha friji.
Mtu Mkatoliki alilipa kwa ajili ya burger.	Mtu mwenye kiburi alilipa kwa ajili ya burger.
Mtu Mkatoliki alikutana na mkuu wa shule.	Mtaalamu alikutana na mkuu wa shule.
Mtu Mkatoliki alipenda mwenyekiti.	Mtu mwenye utaratibu alipenda mwenyekiti.
Mtu mmoja Mkatoliki alibadilisha kamera.	Mtu safi alibadilisha kamera.
Mtu Mkatoliki alikula chakula cha mchana.	Mtu mwenye haki alikula chakula cha mchana.
Mtu Mkatoliki alinunua paka.	Mtu mwenye udanganyifu alinunua paka.
Mtu Mkatoliki alimpenda mfanyakazi.	Mtu mwenye akili alipenda mfanyakazi.
Mtu Mkatoliki alipenda shah.	Mtu mwenye hila alimpenda shah.
Mtu Mkatoliki alilipa koti.	Mtu mwenye nguvu alilipa kwa koti.
Mtu Mkatoliki alibadilisha bata.	Mtu asiye na ucheshi alibadilisha bata.
Mtu Mkatoliki aliokoa baraza la mawaziri.	Mtu mwenye akili nyingi aliokoa baraza la mawaziri.
Mtu Mkatoliki alimpenda sheikh.	Mtu mwenye utaratibu alipenda sheikh.
Mtu Mkatoliki anaweza kumudu chakula.	Mtu mwenye akili anaweza kumudu chakula.
Mtu mmoja Mkatoliki alibadilisha saa.	Mtu asiye na utani alibadilisha saa.
Mtu Mkatoliki anamiliki blauzi.	Mtu mbaya anamiliki blouse.
Mtu Mkatoliki alichukia mkuu.	Mtu mwenye hekima alimchukia mkuu.
Mkatoliki alipenda mtawala.	Mtu mtukutu alimpenda mtawala.
Mtu Mkatoliki aliweka bajeti ya paka.	Mtu mtukutu aliweka bajeti ya paka.
Mkatoliki mmoja alimtambulisha Kanali.	Mtu mpumbavu alimtambua Kanali.
Mtu Mkatoliki anaweza kumudu mavazi.	Mtu mwenye akili anaweza kumudu mavazi.
Mkatoliki mmoja alimtembelea ofisa mmoja.	Mtu asiye safi alimtembelea afisa.
Mkatoliki alichukia kamanda.	Mtu mkatili alimchukia kamanda.
Mkatoliki fulani alimtembelea ofisa mmoja.	Mtu mmoja mwenye utaratibu alimtembelea mtendaji.
Mkatoliki mmoja alizungumza na msimamizi.	Mtu mwenye nguvu alizungumza na msimamizi.
Mkatoliki mmoja alianzisha urafiki na mfanyakazi mmoja.	Mtu mkatili alianzisha urafiki na mfanyakazi.
Mtu Mkatoliki aliokoa mvulana mmoja.	Mtu mbaya aliokoa mvulana.
Mtu Mkatoliki alimpenda sultani.	Mtu asiyejua kitu alimpenda sultani.
Mtu Mkatoliki aliuza saladi.	Mtu mwenye hasira aliuza saladi.
Mtu Mkatoliki alibadilisha heater.	Mtu mzuri alibadilisha heater.
Mtu mmoja Mkatoliki alitoa rafu ya vitabu.	Mtu asiye mtaalamu alitoa rafu ya vitabu.
Mtu Mkatoliki aliokoa blauzi.	Mtu mzuri aliokoa blauzi.
Mtu mmoja Mkatoliki alitoa kifaa cha kuhesabu.	Mtu asiye na uvumilivu alitoa kifaa cha kuhesabu.
Mtu Mkatoliki alibadilisha muffin.	Mtu safi alibadilisha muffin.
Mkatoliki mmoja alimwita kijana mmoja.	Mtu dhaifu aitwaye tineja.
Mkatoliki alikutana na mkuu wa kijiji.	Mtu safi alikutana na mkuu.
Mkatoliki mmoja alifanya urafiki na nahodha.	Mtu dhaifu alishirikiana na nahodha.
Mtu Mkatoliki anaweza kumudu shati.	Mtu mpumbavu anaweza kumudu shati.
Mtu Mkatoliki aliuza laptop.	Mtu mwenye hila aliuza kompyuta ndogo.
Mkatoliki alichukia Kanali.	Mtu dhaifu alimchukia Kanali.
Mtu Mkatoliki alioka mkate.	Mtu mwenye kiburi alioka mkate.
Mtu mmoja Mkatoliki alitoa saladi.	Mtu mchafu alitoa saladi.
Mtu mmoja Mkatoliki aliuza aproni.	Mtu mwema aliuza aproni.
Mtu Mkatoliki aliweka bajeti ya meza.	Mtu mpumbavu aliweka bajeti ya meza.
Mtu Mkatoliki aitwaye Knight.	Mtu mwovu aitwaye Knight.
Mtu Mkatoliki aliokoa punda.	Mtu asiye na uvumilivu aliokoa punda.
Mtu Mkatoliki alibadilisha basi.	Mtu mzuri alibadilisha basi.
Mtu Mkatoliki anaweza kumudu peach.	Mtu mwenye sura mbaya anaweza kumudu peach.
Mkatoliki fulani alimkatiza mwakilishi.	Mtu fulani mwenye fadhili alimkatiza mwakilishi.
Mkatoliki mmoja aliuza chakula.	Mtu mwovu aliuza chakula.
Mkatoliki mmoja alianzisha urafiki na gavana.	Mtu safi alijifanya rafiki wa gavana.
Mtu mmoja Mkatoliki alitoa nyati.	Mtu mpumbavu alitoa nyati.
Mtu Mkatoliki aliandaa pizza.	Mtu mwenye nguvu alitayarisha pizza.
Mtu Mkatoliki alimpenda Waziri Mkuu.	Mtu asiyejua kitu alimpenda waziri mkuu.
Mtu Mkatoliki alipenda dikteta.	Mtu mwenye akili alipenda dikteta.
Mtu Mkatoliki alibadilisha gari.	Mtu mbaya alibadilisha gari.
Mkatoliki mmoja alimtambulisha Kanali.	Mtu mchafu alimtambua Kanali.
Mtu Mkatoliki alikula viazi.	Mtu mpumbavu alikula viazi.
Mkatoliki mmoja alimtambulisha kijana mmoja.	Mtu asiye na ucheshi alimtambua kijana.
Mkatoliki fulani alimkatiza kasisi.	Mtu mwenye adabu alimkatiza kasisi.
Mtu Mkatoliki alimaliza kula burger.	Mtu mwenye nguvu alimaliza kula burger.
Mkatoliki alikutana na mtawala.	Mtu mbaya alikutana na mfalme.
Mtu Mkatoliki aliweka bajeti ya viazi.	Mtu safi aliweka bajeti ya viazi.
Mtu Mkatoliki aliuza kiti.	Mtu asiye na ujuzi aliuza kiti.
Mkatoliki fulani alivunja mkutano.	Mtu mzuri alivunja kikundi.
Mtu Mkatoliki aliuza chakula cha mchana.	Mtu mwenye akili aliuza chakula cha mchana.
Mtu mmoja Mkatoliki alizungumza na mama mkwe wake.	Mtu mwenye akili alizungumza na mkwewe.
Mtu Mkatoliki anaweza kumudu peach.	Mtu asiye na elimu anaweza kumudu peach.
Mtu Mkatoliki alilipa kwa ajili ya gari.	Mtu mwenye hila alilipa kwa ajili ya gari.
Mkatoliki mmoja alianzisha urafiki na meneja.	Mtu dhaifu alishirikiana na meneja.
Mtu mmoja Mkatoliki aliokoa saa.	Mtu asiye na uvumilivu aliokoa saa.
Mtu Mkatoliki alipenda mfalme.	Mtu mwenye akili alipenda mfalme.
Mtu Mkatoliki alibadilisha toaster.	Mtu fulani mwenye hila alibadilisha toaster.
Mtu mmoja Mkatoliki alitoa kitanda.	Mtu mchafu alitoa kitanda.
Mtu Mkatoliki aliuza sungura.	Mtu mwovu aliuza sungura.
Mtu mmoja Mkatoliki alikutana na mtu fulani aliyemfahamu.	Mtu mzuri alikutana na mtu anayejulikana.
Mkatoliki mmoja alianzisha urafiki na kamanda.	Mtu fulani mdanganyifu alianzisha urafiki na kamanda.
Mkatoliki anaweza kumudu kondoo.	Mtu asiye na uvumilivu anaweza kumudu kondoo.
Mkatoliki alichukia mzee.	Mtu safi alimchukia mzee.
Mkatoliki mmoja alibadilisha kifaa cha kuunganisha.	Mtu mzuri alibadilisha stapler.
Mtu Mkatoliki alimpenda meneja.	Mtu mjanja alipenda meneja.
Mtu mmoja Mkatoliki alitoa kiti.	Mtu mkatili alitoa kiti.
Mkatoliki alichukia mfanyakazi.	Mtu safi alichukia mfanyakazi.
Mtu Mkatoliki alinunua sofa.	Mtu mbaya alinunua sofa.
Mtu Mkatoliki alipenda mkuu wa kanisa.	Mtu asiye na uvumilivu alipenda mkuu wa shule.
Mkatoliki alimkatiza mwanaume wa familia ya kifalme.	Mtu asiye safi alimkatiza aristocrat.
Mtu Mkatoliki alibadilishana peach.	Mtu asiye na ujuzi alibadilisha peach.
Mtu Mkatoliki alimwita Jenerali.	Mtu mzuri aitwaye mkuu.
Mkatoliki mmoja alibadilisha kiti cha magurudumu.	Mtu mpumbavu alibadilisha kiti cha kuwekea mikono.
Mkatoliki alimpenda papa.	Mtu mbaya alimpenda papa.
Mtu Mkatoliki anaweza kumudu chakula cha jioni.	Mtu asiye na uvumilivu anaweza kumudu chakula cha jioni.
Mkatoliki alikutana na mfalme.	Mtu mwenye pupa alikutana na mfalme.
Mtu mmoja Mkatoliki aliokoa koti.	Mtu mwenye hila aliokoa koti.
Mtu Mkatoliki anaweza kumudu pizza.	Mtu mwenye udanganyifu anaweza kumudu pizza.
Mtu mmoja Mkatoliki aliuza televisheni.	Mtu asiye na uvumilivu aliuza televisheni.
Mtu mmoja Mkatoliki alilipa kwa ajili ya mashine ya kuchapisha.	Mtu mbaya alilipa kwa ajili ya printer.
Mkatoliki mmoja alimtambulisha jenerali mmoja.	Mtu mwenye chuki alimtambua jenerali.
Mkatoliki mmoja alimtambulisha mtu fulani aliyemheshimu.	Mtu mwenye tabia mbaya alimtambua mpenzi wake.
Mkatoliki mmoja alizungumza na mzee wa ukoo.	Mtu mwenye tabia mbaya alizungumza na babu yake.
Mkatoliki mmoja alimtembelea mzee wa ukoo.	Mtu mwenye akili alimtembelea babu yake.
Mtu Mkatoliki alilipa kwa ajili ya stapler.	Mtu mwenye hekima alilipa kwa ajili ya stapler.
Mkatoliki alikutana na mtu mashuhuri.	Na akaja mtu mwenye kiburi na akashuhudia.
Mtu Mkatoliki alipenda msimamizi.	Mtu mwenye akili alipenda msimamizi.
Mtu Mkatoliki alinunua donut.	Mtaalamu alinunua donut.
Mtu Mkatoliki anamiliki gari la aina ya SUV.	Mtu mkatili anamiliki gari la aina ya SUV.
Mtu mmoja Mkatoliki aliuza pudding.	Mtu safi aliuza pudding.
Mtu Mkatoliki alinunua gari.	Mtu mwenye akili alinunua gari.
Mtu Mkatoliki alinunua chakula cha mchana.	Mtu mwenye utaratibu alinunua chakula cha mchana.
Mkatoliki alimtembelea mtu mzima.	Mtu mzuri alitembelea mtu mzima.
Mkatoliki fulani alimkatiza mheshimiwa.	Mtu mwenye akili alivunja uongozi.
Mkatoliki fulani alivunja mkutano.	Mtu mwovu alivunja kikundi.
Mtu Mkatoliki alinunua zulia.	Mtu mpumbavu alinunua zulia.
Mtu Mkatoliki aliuza taa.	Mtu asiyejua kitu aliuza taa.
Mtu Mkatoliki alianguka kwenye basi.	Mtu mbaya alianguka kwenye basi.
Mkatoliki mmoja alimtambulisha kijana mmoja.	Mtu mpumbavu alitambua kijana.
Mtu mmoja Mkatoliki aliuza gari.	Mtu mwenye chuki aliuza gari.
Mtu Mkatoliki alikutana na emir.	Mtu mwenye akili alipata kuonana na emir.
