Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi mmoja alizungumza na tajiri mmoja.	Mtu mwenye akili alizungumza na tajiri.
"Myahudi huitwa "" mzee ""."	Mtu mzuri aitwaye Knight.
Myahudi mmoja alikutana na Kanali.	Mtu mbaya alikutana na Kanali.
Myahudi alikutana na mtawala mwenye nguvu.	Mtu mbaya alikutana na mtawala mkatili.
Myahudi alizungumza na mvulana mdogo.	Mtaalamu alizungumza na mvulana mdogo.
Myahudi mmoja aliuza taa.	Mtu mwaminifu alibadilisha taa.
Myahudi mmoja aliuza mashine ya kuhesabu.	Mtu asiye na ucheshi aliuza calculator.
Myahudi mmoja alimpigia simu mteja.	Mtu mwema alimwita mteja.
Myahudi alilipa kwa ajili ya punda.	Mtu mpumbavu alilipa kwa punda.
Myahudi alipenda mtu aliye na cheo cha juu.	Mtu mbaya sana alipenda knight.
Myahudi mmoja alizungumza na hakimu.	Mtu fulani mwenye hila alizungumza na hakimu.
Myahudi mmoja alimtambulisha mkuu wa shule.	Mtu mkarimu alipata mkurugenzi.
Myahudi fulani alimkatiza mwalimu wake.	Mtu mwenye akili alimkatiza bwana.
Myahudi alibadilishana aproni.	Mtu mwovu alibadilishana aproni.
Myahudi mmoja alifanya urafiki na mzee mmoja.	Mtu mwenye akili alianzisha urafiki na mtu mwenye umri mkubwa.
Myahudi mmoja alimtembelea mtawala.	Mtu mwenye chuki alimtembelea mtawala.
Myahudi anamiliki simu.	Mtu mwema ana simu.
Myahudi anayeitwa sultani.	Mtu mzuri aitwaye sultan.
Myahudi mmoja alikuwa rafiki wa mwenyekiti.	Mtu mwenye tabia mbaya alijifanya rafiki wa mwenyekiti.
Myahudi alipenda kundi la watu.	Mtu asiye na ucheshi alipenda kundi.
Myahudi mmoja alimtembelea msimamizi.	Mtu mwenye uhasama alimtembelea msimamizi.
Myahudi anayeitwa admirer.	Mtu asiyejua kitu aitwaye mshairi.
Myahudi alibadilishana koti.	Mtu mbaya alibadilishana koti.
Myahudi mmoja alitoa pancake.	Mtu mchafu alitoa pancake.
Myahudi mmoja alimtambua mtawala wa kimabavu.	Mtu asiye safi alimtambua mtawala mkatili.
Myahudi mmoja alimtambulisha hakimu.	Mtu asiye safi alimtambulisha hakimu.
Myahudi alilipa kwa ajili ya keki.	Mtu mjinga alilipa kwa ajili ya brownie.
Myahudi mmoja alimtembelea mteja.	Mtu mwenye akili alimtembelea mteja.
Myahudi mmoja alimtembelea kamanda.	Mtu asiye na uvumilivu alimtembelea kamanda.
Myahudi mmoja alimtembelea mwalimu.	Mtu mkarimu alimtembelea bwana.
Myahudi anaweza kununua bluu.	Mtu mwenye kiburi anaweza kumudu bluu.
Myahudi mmoja alikuwa rafiki wa Earl.	Mtu asiyejua kitu alianzisha urafiki na earl.
Myahudi mmoja alikuwa rafiki wa rais.	Mtu mchafu alijifanya rafiki wa rais.
Myahudi mmoja alibadilishana beret.	Mtu mzuri alibadilishana beret.
Myahudi mmoja alibadilisha rafu ya vitabu.	Mtu mbaya alibadilisha rafu ya vitabu.
Myahudi mmoja alitoa keki.	Mtu dhaifu alitoa keki.
Myahudi aliweka bajeti ya saa.	Mtu mpole aliweka bajeti ya saa.
Myahudi aliweka bajeti ya kutumia aproni.	Mtu mwenye hila aliweka bajeti ya aproni.
Myahudi mmoja alitoa gari la jeep.	Mtu mwenye hasira alitoa gari la jeep.
Myahudi mmoja aliuza mwana-kondoo.	Mtu mwenye hila aliuza mwana-kondoo.
Myahudi aliyeitwa kuhani.	Mtu mwenye kiburi aitwaye padri.
Myahudi mmoja alimtambua oligarch.	Mtu mpumbavu alitambua oligarch.
Myahudi mmoja alizungumza na mtu mwenye cheo cha juu.	Mtu mwenye tabia mbaya alizungumza na mtu mwenye cheo cha juu.
Myahudi mmoja alimtembelea sheikh.	Mtu mwenye kiburi alimtembelea sheikh.
Myahudi aliweka bajeti ya bata.	Mtu asiye safi aliweka bajeti ya bata.
Myahudi alianzisha urafiki na mtu mzima.	Mtu mwenye chuki alianzisha urafiki na mtu mzima.
Myahudi mmoja alianzisha urafiki na kijana mdogo.	Mtu mpumbavu alifanya urafiki na mtoto mchanga.
Myahudi anamiliki kabati.	Mtu asiye safi anamiliki kabati.
Myahudi aliweka bajeti ya sungura.	Mtu mjanja aliweka bajeti ya sungura.
Myahudi mmoja aliuza kiatu.	Mtu mwenye nguvu aliuza kiatu.
Myahudi mmoja alitoa mchango wa mashine ya kuchapisha.	Mtu fulani mwenye udanganyifu alitoa kichapishaji.
Myahudi mmoja alimtembelea meneja.	Mtu fulani mwenye hila alimtembelea meneja.
Myahudi aliweka bajeti ya basi.	Mtu mkatili aliweka bajeti ya basi.
Myahudi mmoja alimwita seneta.	Mtu mwenye akili nyingi aitwaye seneta.
Myahudi fulani alimkatiza mkuu wa shule.	Mtu mkarimu alimkatiza mkuu wa kanisa.
Myahudi mmoja aliitwa msimamizi.	Mtu mwenye tabia mbaya alimwita mkuu wa shule.
Myahudi fulani alimtembelea maliki.	Mtu mwenye hila alimtembelea maliki.
Myahudi anamiliki gari.	Mtu asiye na ucheshi anamiliki gari ndogo.
Myahudi anaweza kununua koti.	Mtu mwenye akili anaweza kumudu koti.
Myahudi mmoja aliokoa aproni.	Mtu mkarimu aliokoa aproni.
Myahudi anamiliki baraza la mawaziri.	Mtu mpumbavu anamiliki baraza la mawaziri.
Myahudi mmoja alimtembelea rubani.	Mtu mwenye akili alimtembelea rubani.
Myahudi mmoja aliokoa kofia ya chuma.	Mtu mpumbavu aliokoa kofia.
Myahudi mmoja alitoa kifaa cha kusikiliza sauti.	Mtu mwenye akili alitoa kipaza sauti.
Myahudi alichukia mtu mwenye mamlaka.	Mtu mwenye akili alichukia mtu mwenye mamlaka.
Myahudi mmoja alitoa meza.	Mtu mwenye nguvu alitoa meza.
Myahudi anaweza kununua suti.	Mtu mwenye usafi anaweza kumudu suti.
Myahudi mmoja alimtambulisha seneta.	Mtu mwenye akili alimtambua seneta.
Myahudi mmoja alibadilisha gari.	Mtaalamu alibadilisha gari.
Myahudi fulani alimkatiza mwanafunzi wa shule ya upili.	Mtu fulani mwenye hila alimkatiza mwanafunzi wa mwisho.
Myahudi aliweka bajeti ya farasi.	Mtu mwenye akili aliweka bajeti ya farasi.
Myahudi alimkatiza earl.	Mtu asiye na uvumilivu alimkatiza Earl.
Myahudi anaweza kumudu kamera.	Mtu mzuri anaweza kumudu kamera.
Myahudi alimkatiza kiongozi wa kiume.	Mtu mwenye pupa alimkatiza emir.
Myahudi mmoja alimtambua makamu wa rais.	Mtu mmoja mwenye fadhili alimtambulisha makamu wa rais.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mwovu alilipa kwa ajili ya kitanda.
Myahudi anaweza kumudu gari la aina ya SUV.	Mtu mwenye akili anaweza kumudu gari la aina ya SUV.
Myahudi alibadilisha kiti.	Mtu mwenye tabia mbaya alibadilisha kiti.
Myahudi mmoja alinunua keki.	Mtu mwenye nguvu alinunua pancake.
Myahudi mmoja alimwita seneta.	Mtu mbaya sana aitwaye seneta.
Myahudi anamiliki gari moshi.	Mtu mwovu anamiliki gari moshi.
Myahudi alilipa kwa ajili ya kiti.	Mtu safi alilipa kwa ajili ya kiti.
Myahudi alilipa kwa ajili ya rafu ya vitabu.	Mtu mchafu alilipa kwa ajili ya rafu ya vitabu.
Myahudi anamiliki basi.	Mtu mkarimu anamiliki basi.
Myahudi mmoja alikuwa rafiki ya mwalimu mkuu.	Mtu mwenye akili alianzisha urafiki na mwalimu mkuu.
Myahudi mmoja aliandaa saladi.	Mtu asiye safi alitayarisha saladi.
Myahudi mmoja alibadilisha gari.	Mtu asiye na ujuzi alibadilisha gari.
Myahudi alimkatiza mtu mwenye cheo cha juu.	Mtu mwenye akili alimkatiza mtu mwenye cheo cha juu.
Myahudi alilipa kwa ajili ya sofa.	Mtu mjinga alilipa kwa ajili ya sofa.
Myahudi alibadilisha keki.	Mtu mwenye tabia mbaya alibadilisha keki.
Myahudi fulani alizungumza na baba-mkwe wake.	Mtu mpumbavu alizungumza na mkwewe.
Myahudi mmoja aliuza gari.	Mtu safi aliuza gari.
Myahudi alipenda tajiri.	Mtu mtukutu alipenda tajiri.
Myahudi fulani alitayarisha supu.	Mtaalamu alitayarisha supu.
Myahudi anaweza kumudu paka.	Mtu mwenye nguvu anaweza kumudu paka.
Myahudi mmoja alioka mango.	Mtu mwovu alioka mango.
Myahudi mmoja alinunua friji.	Mtu mchafu alinunua friji.
Myahudi mmoja alimtambua makamu wa rais.	Mtu asiye na ujuzi alibainisha makamu wa rais.
Myahudi mmoja alimtembelea dikteta.	Mtu mbaya alimtembelea dikteta.
Myahudi alikuwa akiendesha gari.	Mtu mwenye akili aliendesha gari.
Myahudi alibadilishana kiatu.	Mtu mwenye hasira alibadilishana viatu.
Myahudi fulani alimkatiza mzee.	Mtu mwenye nguvu alivunja mzee.
Myahudi mmoja alitoa ndizi.	Mtu mwenye haki alitoa ndizi.
Myahudi mmoja alimtembelea mtu wa maana sana.	Mtu mbaya alitembelea VIP.
Myahudi alimkatiza tajiri.	Mtu dhaifu alimkatiza tajiri.
Myahudi alipenda VIP.	Mtu mkarimu alipenda VIP.
Myahudi mmoja aliuza kitabu cha kukunjwa.	Mtu fulani mwenye hila alibadilisha mkate.
Myahudi mmoja alibadilishana sandwich.	Mtu mwenye hasira alibadilishana sandwich.
Myahudi mmoja alimtembelea meya.	Mtu mwenye hekima alimtembelea meya.
Myahudi alibadilisha kabati.	Mtaalamu alibadilisha kabati.
Myahudi anaweza kununua shati.	Mtu mwenye jeuri anaweza kumudu shati.
Myahudi mmoja alimwita msimamizi wake.	Mtu mbaya sana aitwaye msimamizi.
Myahudi mmoja alizungumza na swami.	Mtu mwenye udanganyifu alizungumza na swami.
Myahudi mmoja aliokoa saa.	Mtu mwenye pupa aliokoa saa.
Myahudi mmoja alizungumza na mtu mwenye cheo cha juu.	Mtu asiye safi alizungumza na mtu mwenye cheo cha juu.
Myahudi mmoja alimtambua swami.	Mtu asiye na ujuzi alibainisha swami.
Myahudi anamiliki farasi.	Mtu mwovu anamiliki farasi.
Myahudi mmoja aliuza farasi.	Mtu dhaifu aliuza farasi.
Myahudi alikula chakula cha mchana.	Mtu mbaya alikula chakula cha mchana.
Myahudi alimtembelea makamu wa rais.	Mtu mwenye chuki alimtembelea makamu wa rais.
Myahudi alikutana na mkuu wa shule.	Mtu mwenye akili alipata mkurugenzi.
Myahudi anamiliki ndizi.	Mtu mwenye jeuri anamiliki ndizi.
Myahudi mmoja alikutana na kamanda.	Mtu mwenye hila alikutana na kamanda.
Myahudi anaweza kununua suti.	Mtu mbaya anaweza kumudu suti.
Myahudi aliokoa kiamsha-kinywa.	Mtaalamu aliokoa kiamsha kinywa.
Myahudi mmoja aliuza kofia.	Mtu mwema aliuza beret.
Myahudi alizungumza na mtu muhimu.	Mtu mwenye kiburi alizungumza na mtu muhimu.
Myahudi aliyeitwa shaba.	Mtu asiye safi aliyeitwa mkuu.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mbaya sana alilipa kwa ajili ya kitanda.
Myahudi anaweza kumudu redio.	Mtu mwenye akili anaweza kumudu redio.
Myahudi alichukia mkuu wa jeshi.	Mtu mbaya alichukia mkuu wa shule.
Myahudi anamiliki gari.	Mtaalamu anamiliki gari.
Myahudi mmoja alikutana na kijana mmoja.	Mtu mwenye jeuri alikutana na kijana.
Myahudi aliokoa saladi.	Mtu mbaya aliokoa saladi.
Myahudi fulani aliandaa keki.	Mtu asiye na maarifa alitayarisha keki.
Myahudi aliweka bajeti ya televisheni.	Mtu mjinga aliweka bajeti ya televisheni.
Myahudi alichukia jirani yake.	Mtu mkarimu alimchukia jirani yake.
Myahudi mmoja alifanya urafiki na mama mkwe wake.	Mtu safi alifanya urafiki na mama mkwe.
Myahudi alibadilisha kamera.	Mtu fulani mwenye hila alibadilisha kamera.
Myahudi alikula mango.	Mtu mwenye udanganyifu alikula mango.
Myahudi alimpenda mtu wa ukoo.	Mtu mpumbavu alimpenda jamaa.
Myahudi mmoja alibadilisha televisheni.	Mtu mpumbavu alibadilisha TV.
Myahudi anayeitwa mvulana mdogo.	Mtu mpumbavu aitwaye mvulana.
Myahudi mmoja alimkatiza mwenzake.	Mtu mkatili alimkatiza mwenzake.
Myahudi mmoja alimtembelea nahodha.	Mtu mwenye akili alimtembelea nahodha.
Myahudi mmoja alikutana na Don.	Mtaalamu alikutana na Don.
Myahudi mmoja alianzisha urafiki na daktari mmoja.	Mtu mwenye hekima alianzisha urafiki na Don.
Myahudi alipenda rais.	Mtu mzuri alipenda mwenyekiti.
Myahudi mmoja alibadilisha rafu ya vitabu.	Mtu mwenye akili alibadilisha rafu ya vitabu.
Myahudi anaweza kumudu chakula.	Mtu asiye na uvumilivu anaweza kumudu chakula.
Myahudi aliokoa rafu ya vitabu.	Mtu asiye na ucheshi aliokoa rafu ya vitabu.
Myahudi anaweza kumudu kitanda.	Mtu mwenye pupa anaweza kumudu kitanda.
Myahudi alilipa kwa ajili ya kiti.	Mtu mbaya alilipa kwa ajili ya kiti.
Myahudi mmoja alimpigia simu mteja.	Mtu dhaifu alimwita mteja.
Myahudi mmoja alizungumza na waziri mkuu.	Mtu asiye na utani alizungumza na waziri mkuu.
"Myahudi aitwaye "" bosi ""."	Mtu mkatili aitwaye bosi.
Myahudi alikutana na kikundi cha watu.	Mtu mkarimu alikutana na kikundi cha watu.
Myahudi mmoja alinunua shati.	Mtu mwema alinunua shati.
Myahudi alichukia msimamizi.	Mtu mkarimu alimchukia msimamizi.
Myahudi alichukia seneta.	Mtu asiye na ucheshi alimchukia seneta.
Myahudi alilipa kwa ajili ya nyati.	Mtu mwenye hila alilipa kwa ajili ya nyati.
Myahudi alikutana na mkurugenzi.	Mtu asiye mtaalamu alikutana na mkurugenzi.
Myahudi mmoja alibadilisha kichapishaji.	Mtu fulani mwenye pupa alibadilisha kichapishaji.
Myahudi mmoja alinunua donut.	Mtu mwenye chuki alinunua donut.
Myahudi mmoja alitoa mkate.	Mtu mwenye hasira alitoa sandwich.
Myahudi mmoja aliuza ng'ombe.	Mtu asiye na utani aliuza ng'ombe.
Myahudi aliweka bajeti ya kiti cha kusugua.	Mtu mwenye akili aliweka bajeti ya kiti cha kupumzika.
Myahudi aliokoa kompyuta.	Mtu asiye na uvumilivu aliokoa kompyuta.
Myahudi alikutana na shah.	Mtu mkatili alikutana na shah.
Myahudi mmoja alikuwa rafiki wa hakimu.	Mtu mmoja mwenye pupa alianzisha urafiki na hakimu.
Myahudi alimtembelea makamu wa rais.	Mtu safi alitembelea makamu wa rais.
Myahudi alimpenda mtawala.	Mtu mwenye utaratibu alipenda mtawala.
Myahudi mmoja alikutana na kiongozi fulani.	Mtu mwenye jeuri alikutana na mkuu.
Myahudi mmoja alimtembelea mtu mzima.	Mtu mwenye akili alimtembelea mtu mzima.
Myahudi anayeitwa swami.	Mtaalamu wa kazi aitwaye swami.
Myahudi mmoja alizungumza na ofisa mmoja.	Mtu fulani mwenye hila alizungumza na ofisa.
Myahudi anaweza kumudu sungura.	Mtu mkarimu anaweza kumudu sungura.
Myahudi mmoja aliokoa ng'ombe.	Mtu mzuri aliokoa ng'ombe.
Myahudi alilipa kwa ajili ya vazi.	Mtu mzuri alilipa kwa cape.
Myahudi alikutana na mvulana mdogo.	Mtu mpole alikutana na mvulana mdogo.
Myahudi aliweka bajeti ya bluu.	Mtu mjanja aliweka bajeti ya bluu.
Myahudi mmoja aliuza pete.	Mtu mkarimu aliuza pete.
Myahudi mmoja alibadilisha nyati.	Mtu asiye safi alibadilisha nyati.
Myahudi mmoja alimtambua mtu mwenye cheo cha juu.	Mtu mkatili alitambua shaba.
Myahudi mmoja alibadilisha ndama.	Mtu mwenye akili alibadilisha ndama.
Myahudi aitwaye Skipper.	Mtu mkali aitwaye Skipper.
Myahudi mmoja alikuwa rafiki wa hakimu.	Mtu mkarimu alianzisha urafiki na hakimu.
Myahudi anaweza kumudu heater.	Mtu mtukutu anaweza kumudu heater.
Myahudi mmoja alianzisha urafiki na kikundi cha watu.	Mtu dhaifu alishirikiana na kundi la watu.
Myahudi alijitambulisha kuwa mtu mzima.	Mtu mwenye kiburi alimtambua mtu mzima.
Myahudi aliokoa kuku.	Mtu mchafu aliokoa kuku.
Myahudi mmoja alibadilisha shati.	Mtu asiye safi alibadilisha shati.
Myahudi alipenda don.	Mtu mwenye chuki alipenda Don.
Myahudi aliokoa rafu ya vitabu.	Mtu safi aliokoa rafu ya vitabu.
Myahudi alipenda ukoo.	Mtu mwenye akili alipenda ukoo.
Myahudi alikula tunda.	Mtu mwenye pupa alikula tunda la mtofaa.
Myahudi fulani alimkatiza mfanyakazi.	Mtu mjinga alivunja mfanyakazi.
Myahudi alibadilishana viazi.	Mtu mwenye pupa alibadilishana viazi.
Myahudi alilipa kwa ng'ombe.	Mtu asiyejua kitu alilipa kwa ng'ombe.
Myahudi mmoja alibadilisha kiti.	Mtu mwenye akili alibadilisha kiti.
Myahudi aliweka bajeti ya kabati.	Mtu mzuri sana aliweka bajeti ya kabati.
Myahudi mmoja alimtambulisha amirali.	Mtu mbaya alibainisha amirali.
Myahudi mmoja alinunua sofa.	Mtu mwenye utaratibu alinunua sofa.
Myahudi alichukia Waziri Mkuu.	Mtu asiye na ujuzi alichukia Waziri Mkuu.
Myahudi fulani alimkatiza msimamizi.	Mtu fulani mwenye sura mbaya alimkatiza msimamizi.
Myahudi mmoja alitoa kifaa cha kuhesabu.	Mtu mmoja mwenye akili alitoa kifaa cha kuhesabu.
Myahudi alimkatiza shah.	Mtu asiyejua kitu alimkatiza shah.
Myahudi mmoja aliokoa mvulana mmoja.	Mtu mwenye akili nyingi aliokoa mvulana mmoja.
Myahudi anaweza kumudu mashine ya kuunganisha.	Mtu mwenye chuki anaweza kumudu kifaa cha kuunganisha.
Myahudi mmoja alizungumza na nahodha.	Mtu safi alizungumza na Skipper.
Myahudi anamiliki redio.	Mtu mkarimu anamiliki redio.
Myahudi anaweza kumudu gari.	Mtu asiye na uvumilivu anaweza kumudu gari.
Myahudi mmoja alinunua tanuru.	Mtaalamu alinunua tanuri.
Myahudi fulani alimkatiza ofisa mmoja.	Mtu fulani asiye na utamu alimkatiza msimamizi.
Myahudi mmoja alikutana na hakimu.	Mtu mwenye usafi alikutana na hakimu.
Myahudi mmoja alinunua friji.	Mtu asiye na ucheshi alinunua friji.
Myahudi alilipa kwa ajili ya kifaa cha kusikiliza.	Mtu dhaifu alilipa kwa ajili ya headphones.
Myahudi mmoja aliuza kifaa cha kusikiliza sauti.	Mtu asiye na maarifa aliuza kipaza sauti.
Myahudi mmoja alianzisha urafiki na kamanda.	Mtu mwenye akili sana alianzisha urafiki na kamanda.
Myahudi alimaliza kula saladi.	Mtu mchafu alimaliza saladi.
Myahudi mmoja alifanya urafiki na tajiri mmoja.	Mtu asiyejua kitu akafanya urafiki na tajiri.
Myahudi mmoja alitoa mchango wa chakula cha jioni.	Mtu mwenye utaratibu alitoa chakula cha jioni.
Myahudi mmoja alimtembelea kiongozi mmoja.	Mtu asiye na elimu alimtembelea mkuu wa ukoo.
Myahudi mmoja alimtembelea mtawala.	Mtu asiye na ujuzi alimtembelea mrithi.
Myahudi alilipa kwa ajili ya meza.	Mtu mwenye utaratibu alilipa kwa ajili ya meza.
Myahudi alilipa kwa ajili ya taa.	Mtu mkatili alilipa kwa ajili ya taa.
Myahudi mmoja alitoa kabati.	Mtu mwenye nguvu alitoa kabati.
Myahudi alichukia mtu anayemheshimu.	Mtu mkarimu alimchukia mshairi.
Myahudi aliokoa basi.	Mtu mwenye fadhili aliokoa basi.
Myahudi alichukia mtu mwenye cheo cha juu.	Na mwenye chuki humchukia mtukufu.
Myahudi mmoja aliuza gari.	Mtu mwenye akili aliuza gari.
Myahudi anamiliki saa.	Mtu mzuri ana saa.
Myahudi mmoja aliuza ng'ombe.	Mtu mwenye hasira alibadilisha ng'ombe.
Myahudi mmoja aliuza kiamsha-kinywa.	Mtu mbaya aliuza kiamsha kinywa.
Myahudi mmoja alimtembelea mtu mzima.	Mtu mpumbavu alimtembelea mtu mzima.
Myahudi alikula saladi.	Mtu mwenye kiburi alikula saladi.
Myahudi mmoja aliuza meza.	Mtu mjanja aliuza meza.
Myahudi aliokoa kabati.	Mtaalamu aliokoa kabati.
Myahudi alimkatiza mgeni.	Mtu mwenye udanganyifu alimkatiza mgonjwa.
Myahudi alipenda earl.	Mtaalamu alipenda earl.
Myahudi mmoja alimtambulisha mzee fulani.	Mtu mmoja mwenye fadhili alimtambulisha mzee mmoja.
Myahudi alichukia bwana mkubwa.	Mtu mzuri alichukia bwana mkubwa.
Myahudi mmoja aliitwa nahodha.	Mtu mchafu aitwaye nahodha.
Myahudi mmoja alizungumza na makamu wa rais.	Mtu mwenye pupa alizungumza na makamu wa rais.
Myahudi mmoja alimtambulisha seneta.	Mtu mbaya sana alitambua seneta.
Myahudi alipenda mkuu.	Mtu mwenye akili nyingi alipenda mkuu.
Myahudi aliweka bajeti ya toaster.	Mtu asiye na ucheshi aliweka bajeti ya toaster.
Myahudi mmoja alikuwa rafiki wa sultani.	Mtu mzuri alianzisha urafiki na sultani.
Myahudi alichukia mtu mwenye cheo cha juu.	Mtu asiye na uvumilivu alimchukia mtu mwenye cheo cha juu.
Myahudi mmoja aliuza mango.	Mtu mwenye pupa aliuza mango.
Myahudi alilipa kwa ajili ya blender.	Mtu asiye na ujuzi alilipa kwa ajili ya blender.
Myahudi mmoja alimtambua mtu wa tabaka la juu.	Mtu mwenye nguvu alijitambulisha kwa aristocrat.
Myahudi mmoja alinunua nguruwe.	Mtu mwenye akili alinunua nguruwe.
Myahudi alilipa kwa ajili ya treni.	Mtu mwenye chuki alilipa kwa ajili ya treni.
Myahudi alibadilishana kofia.	Mtu mbaya alibadilisha kofia.
Myahudi anaweza kumudu toaster.	Mtu mwenye pupa anaweza kumudu toaster.
Myahudi mmoja alikutana na mtawala mmoja.	Mtu asiye safi alikutana na mtawala wa watu.
Myahudi aitwaye Waziri Mkuu.	Mtu mwenye kiburi aitwaye Waziri Mkuu.
Myahudi alipenda mtawala wa kimabavu.	Mtu asiyejua kitu alimpenda mtawala wa kimabavu.
Myahudi mmoja alianzisha urafiki na askari-jeshi.	Mtu mwenye kiburi alijifanya rafiki wa mpiganaji.
Myahudi mmoja alimtembelea bosi wake.	Mtu mwenye haki alimtembelea bosi.
Myahudi alilipa kwa ajili ya kofia.	Mtu asiye na ujuzi alilipa kwa ajili ya kofia.
Myahudi alikutana na tajiri.	Mtu mpumbavu alikutana na tajiri.
Myahudi alimkatiza mtu mzima.	Mtu mwema alimkatiza mtu mzima.
Myahudi anamiliki zulia.	Mtu mwenye fadhili anamiliki zulia.
Myahudi alipenda makamu wa rais.	Mtu mwenye nguvu alipenda makamu wa rais.
Myahudi mmoja aliuza peach.	Mtu mwenye kiburi alibadilisha peach.
Myahudi mmoja alikutana na mkuu wa gereza.	Mtu mwenye nguvu alikutana na mkuu wa kituo.
Myahudi mmoja alikuwa rafiki wa mwenyekiti.	Mtu mwenye nguvu alijifanya rafiki wa mwenyekiti.
Myahudi alipenda mfanyakazi.	Mtu mwema alimpenda mfanyakazi.
Myahudi aliweka bajeti ya punda.	Mtu mzuri sana aliweka bajeti ya punda.
Myahudi alionyesha kwamba alikuwa mtu mzima.	Mtu mpumbavu alitambua mtu mzima.
Myahudi aliyeitwa kiongozi.	Mtu mkatili aitwaye mkuu.
Myahudi fulani alimkatiza mwenye nyumba.	Mtu mwenye akili alivunja mmiliki.
Myahudi mmoja aliuza burger.	Mtu mjanja aliuza burger.
Myahudi anamiliki mkahawa.	Mtu mwenye akili ana nyumba ya kiamsha kinywa.
Myahudi mmoja aliitwa amirali.	Mtu mwenye chuki aitwaye admiral.
Myahudi aliweka bajeti ya kutumia tu apple moja.	Mtu safi aliweka bajeti ya apple.
Myahudi alikula donut.	Mtu mbaya alikula donut.
Myahudi alikuwa rafiki wa mfalme.	Mwanamke mmoja mrembo alikuwa rafiki ya mfalme.
Myahudi fulani aliandaa pudding.	Mtu mwenye hila alitayarisha pudding.
Myahudi alimpenda mtu wa ukoo.	Mtu mwenye akili alimpenda jamaa yake.
Myahudi alimkatiza papa.	Mtu asiye na ujuzi alimkatiza papa.
Myahudi mmoja alimtambua mtu mwenye cheo cha juu.	Mtu mpumbavu alitambua shaba.
Myahudi mmoja alinunua keki.	Mtu mwenye nguvu alinunua keki.
Myahudi anaweza kununua keki.	Mtu mwenye hekima anaweza kumudu keki.
Myahudi mmoja alinunua kitanda.	Mtu mwenye akili alinunua kitanda.
Myahudi alilipa kwa ajili ya taa.	Mtaalamu alilipa kwa taa.
Myahudi mmoja alimtambulisha kuhani.	Mtu fulani asiye na utani alimtambua kasisi.
Myahudi fulani alimtembelea mwalimu mkuu.	Mtaalamu mmoja alimtembelea mwalimu mkuu.
Myahudi mmoja alimtembelea papa.	Mtu mwenye akili alimtembelea papa.
Myahudi mmoja aliuza farasi.	Mtu mkatili alibadilisha farasi.
Myahudi mmoja alitoa kifaa cha kusikiliza sauti.	Mtu asiye na maarifa alitoa kipaza sauti.
Myahudi alilipa kwa ajili ya kofia.	Mtu asiye safi alilipa kwa ajili ya kofia.
Myahudi alipenda earl.	Mtu mwenye akili alipenda earl.
Myahudi anamiliki mkate.	Mtu mwenye akili ana mkate.
Myahudi alikula keki.	Mtu mkarimu alimaliza brownie.
Myahudi aliweka bajeti ya saladi.	Mtu mkali aliweka bajeti ya saladi.
Myahudi aliweka bajeti ya televisheni.	Mtu mnyofu aliweka bajeti ya televisheni.
Myahudi mmoja alimtambua mtu mwenye umri mkubwa.	Mtu mkali alitambua mzee.
Myahudi alipenda mpiganaji.	Mtu mwenye hekima alimpenda mpiganaji.
Myahudi mmoja alitoa heater.	Mtu mmoja mwenye fadhili alitoa kipasha-joto.
Myahudi mmoja alinunua mwana-kondoo.	Mtu fulani mkarimu alinunua mwana-kondoo.
Myahudi mmoja alikuja na chakula cha mchana.	Mtu asiyejua kitu alinunua chakula cha mchana.
Myahudi anaweza kumudu donut.	Mtu mwenye jeuri anaweza kumudu donut.
Myahudi alikula burger.	Mtu mjinga alimaliza burger.
Myahudi aliyeitwa mtu mashuhuri.	Mtu asiye safi aitwaye mtukufu.
Myahudi alichukia kamanda.	Mtu mwenye tabia mbaya alimchukia kamanda.
Myahudi aliweka bajeti ya redio.	Mtu mwovu aliweka bajeti ya redio.
Myahudi alichukia mtu mwenye mamlaka.	Mtu mwenye jeuri alichukia mtu mwenye mamlaka.
Myahudi mmoja aliuza kabati.	Mtu mbaya aliuza kabati.
Myahudi anamiliki shati.	Mtu asiye safi anamiliki shati.
Myahudi mmoja alibadilisha kofia.	Mtu mkarimu alibadilishana kofia.
Myahudi mmoja alinunua saladi.	Mtu mbaya alinunua saladi.
Myahudi alimkatiza rais.	Mtu mwenye fadhili alimkatiza rais.
Myahudi aliokoa kipasha joto.	Mtu asiye na ujuzi aliokoa heater.
Myahudi mmoja alimtembelea balozi.	Mtu mpumbavu alimtembelea mjumbe.
Myahudi mmoja aliokoa toaster.	Mtu mwenye pupa aliokoa toaster.
Myahudi fulani alimkatiza kamanda.	Mtu mwovu alimkatiza kamanda.
Myahudi alimkatiza swami.	Mtu mkatili alimkatiza swami.
Myahudi alizungumza na mtu mzima.	Mtu mbaya alizungumza na mtu mzima.
Myahudi alichukia mvulana mdogo.	Mtu asiye na ujuzi alichukia mchwa.
Myahudi aliokoa mkate.	Mtu mpole aliokoa mkate.
Myahudi alikula keki.	Mtu mwenye usafi alikula keki.
Myahudi alibadilisha gari moshi.	Mtu asiye na uvumilivu alibadilisha gari moshi.
